[410294]: 11776ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:534 [0x2e947fe0]CSpxAudioPump::WaitForPumpStart() ... pre m_cv.wait_for()
[247571]: 11776ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_pump.cpp:173 *** AudioPump THREAD started! ***
[247571]: 11776ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:176 [0x2e947fe0]CSpxAudioPump::PumpThread(): getting format from reader... 
[247571]: 11776ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:186 CSpxAudioPump::PumpThread(): setting format on processor...
[247571]: 11776ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:208 [0x2e947fe0]CSpxAudioPump::PumpThread(): allocating our first buffer
[247571]: 11776ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:277 [0x2e947fe0]CSpxAudioPump::PumpThread(): Starting loop ... => frame size: 3200 | wFormatTag: 'PCM'| nChannels: 1 | nSamplesPerSec:  16000 | nAvgBytesPerSec: 32000 | nBlockAlign: 2 | wBitsPerSample: 16 | cbSize: 0 
[247571]: 11776ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:252 [0x2e947fe0]CSpxAudioPump::PumpThread(), checkAndChangeState: changing states as requested: 'Idle' => 'Processing'
[247571]: 11776ms SPX_DBG_TRACE_VERBOSE:  push_audio_input_stream.cpp:98 CSpxPushAudioInputStream::Read: bytesToRead=3200
[410294]: 11776ms SPX_DBG_TRACE_VERBOSE:  audio_pump.cpp:540 [0x2e947fe0]CSpxAudioPump::WaitForPumpStart() ... post m_cv.wait_for(); state='Processing' (requestedState='Processing')
[410294]: 11776ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3164 StartAudioPump
[410294]: 11776ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1177 StartRecognizing
[410294]: 11776ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:467 [0x2e922370]CSpxAudioStreamSession::SetFormat: format != nullptr
