[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0076603001b288; name='SPEECH-RecoMode'; value='CONVERSATION'
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:621 SetUspRecoMode: recoMode=1
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:608 SetUspEndpoint: Setting Websocket Polling interval to 10
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0076603001b288; name='SPEECH-SubscriptionKey'; value='***************ed'
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::FindPrefix: this=0x0x0076603001b288; name='User-agent'; value='SpeechSDK-Python/1.40.0 Linux Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 6.6.87.2-microsoft-standard-WSL2'
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0076603001b288; name='SPEECH-ProxyHostBypass'; value=''
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0076603001b288; name='OPENSSL_DISABLE_CRL_CHECK'; value='true'
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0076603001b288; name='AZAC-SDK-PROGRAMMING-LANGUAGE'; value='Python'
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0076603001b288; name='AudioConfig_AudioSource'; value='Stream'
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0076603001b288; name='AudioConfig_SampleRateForCapture'; value='16000'
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0076603001b288; name='AudioConfig_BitsPerSampleForCapture'; value='16'
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxNamedProperties::GetStringValue: this=0x0x0076603001b288; name='AudioConfig_NumberOfChannelsForCapture'; value='1'
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxUspConnection' as '792041254'
[844848]: 2006ms SPX_TRACE_INFO:  usp_connection.cpp:485 Connect: entering...
[844848]: 2006ms SPX_TRACE_INFO:  usp_connection.cpp:502 Adding subscription key headers
[844848]: 2006ms SPX_TRACE_INFO:  usp_connection.cpp:537 Set a user defined HTTP header 'User-agent':'SpeechSDK-Python/1.40.0 Linux Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64 6.6.87.2-microsoft-standard-WSL2'
[844848]: 2006ms SPX_TRACE_INFO:  usp_connection.cpp:552 connectionUrl=wss://localhost:8443/
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxTelemetry' as '151041793'
[844848]: 2006ms SPX_DBG_TRACE_SCOPE_ENTER:  web_socket.cpp:216 CSpxWebSocket
[844848]: 2006ms SPX_DBG_TRACE_SCOPE_EXIT:  web_socket.cpp:216 CSpxWebSocket
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxWebSocket' as '482598724'
[844848]: 2006ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:31 UwsWebSocket
[844848]: 2006ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:31 UwsWebSocket
[844848]: 2006ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:43 Initialize
[844848]: 2006ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:43 Initialize
[844848]: 2006ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 SetRequestHeader
[844848]: 2006ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 SetRequestHeader
[844848]: 2006ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 SetRequestHeader
[844848]: 2006ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 SetRequestHeader
[844848]: 2006ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:221 SetRequestHeader
[844848]: 2006ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:221 SetRequestHeader
[844848]: 2006ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:215 SetOption
[844848]: 2006ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:215 SetOption
[844848]: 2006ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:215 SetOption
[844848]: 2006ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:215 SetOption
[844848]: 2006ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:215 SetOption
[844848]: 2006ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:215 SetOption
[844848]: 2006ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:215 SetOption
[844848]: 2006ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:215 SetOption
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  named_properties.h:479 ISpxPropertyBagImpl::SetStringValue: this=0x0x0000003bddfb20; name='SPEECH-ConnectionUrl'; value='wss://localhost:8443/'
[844848]: 2006ms SPX_DBG_TRACE_VERBOSE:  usp_reco_engine_adapter.cpp:1163 speech.config {"context":{"system":{"version":"1.40.0","name":"SpeechSDK","build":"Linux-x64","lang":"Python"},"os":{"name":"Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025 x86_64","version":"6.6.87.2-microsoft-standard-WSL2","platform":"Linux"},"audio":{"source":{"type":"Stream","model":"","samplerate":"16000","bitspersample":"16","channelcount":"1"}}}}
[844848]: 2006ms SPX_TRACE_INFO:  usp_connection.cpp:787 Create requestId  for messageType 0
[844848]: 2006ms SPX_DBG_TRACE_SCOPE_EXIT:  usp_reco_engine_adapter.cpp:230 SetFormat
[844848]: 2006ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:3396 InformAdapterSetFormatStarting
[844848]: 2006ms SPX_TRACE_INFO:  web_socket.cpp:800 DoWork: open transport.
[844848]: 2006ms SPX_TRACE_INFO:  web_socket.cpp:479 Start to open websocket. WebSocket: 0x3001ce90, wsio handle: 0x3001e910
[844848]: 2006ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:149 Open
[844848]: 2006ms SPX_TRACE_INFO: AZ_LOG_INFO:  tlsio_openssl.c:2027 create_openssl_instance by TLS_method.
[844848]: 2006ms SPX_TRACE_INFO: AZ_LOG_INFO:  tlsio_openssl.c:1849 load_system_store not implemented on this platform
[844848]: 2006ms SPX_TRACE_INFO: AZ_LOG_INFO:  tlsio_openssl.c:1878 CRL check off, as requested.
[844848]: 2008ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:149 Open
[844848]: 2028ms SPX_TRACE_SCOPE_ENTER:  uws_web_socket.cpp:247 OnWebSocketOpened
[844848]: 2028ms SPX_TRACE_INFO:  web_socket.cpp:879 Opening websocket completed. TransportRequest: 0x3001ce90, wsio handle: 0x3001e910, time: 2026-05-20T02:01:35.3813200Z
[844848]: 2028ms SPX_TRACE_INFO:  usp_connection.cpp:902 TS:22, OnConnected: connection:0x3001c190
[844848]: 2028ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1497 [0x3bddfa90]CSpxAudioStreamSession::AdapterConnected
[844848]: 2028ms SPX_TRACE_SCOPE_EXIT:  uws_web_socket.cpp:247 OnWebSocketOpened
[844848]: 2028ms SPX_TRACE_VERBOSE:  web_socket.cpp:539 [0x0x76603001ce90] Web socket sending message. Time: 2026-05-20T02:01:35.3813862Z, TimeInQueue: 21ms, IsBinary: 0, Path: speech.config, Size:478 B
[826782]: 2028ms SPX_DBG_TRACE_SCOPE_ENTER:  audio_stream_session.cpp:1725 DispatchEvent task started...
[844848]: 2028ms SPX_TRACE_VERBOSE:  web_socket.cpp:647 [0x0x76603001ce90] Web socket send message completed. Result: 0, SendTime: 0ms, IsBinary: 0, Path: speech.config, Size:478 B
[826782]: 2028ms SPX_DBG_TRACE_VERBOSE:  resource_manager.cpp:133 Created 'CSpxConnectionEventArgs' as '189265475'
[826782]: 2028ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:110 CSpxHandleTable::TrackHandle p=0x0x76602807bfa8
[826782]: 2028ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:116 CSpxHandleTable::TrackHandle class=ISpxConnectionEventArgs, h=0x0x76602807bfa8, p=0x0x76602807bfa8, tot=1
[826782]: 2028ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:178 CSpxHandleTable::StopTracking(h) h=0x0x76602807bfa8
[826782]: 2028ms SPX_DBG_TRACE_VERBOSE:  handle_table.h:190 CSpxHandleTable::StopTracking(h) class=ISpxConnectionEventArgs, h=0x0x76602807bfa8, p=0x0x76602807bfa8, tot=0
[826782]: 2028ms SPX_DBG_TRACE_SCOPE_EXIT:  audio_stream_session.cpp:1725 DispatchEvent task complete!
[844848]: 2037ms SPX_TRACE_VERBOSE:  usp_web_socket.cpp:205 USP message received. IsBinary=0, Path=turn.start, Size=141 B, Time=2026-05-20T02:01:35.3906147Z
[844848]: 2037ms SPX_DBG_TRACE_VERBOSE:  audio_stream_session.cpp:1513 [0x3bddfa90]CSpxAudioStreamSession::FireConnectionMessageReceived; path=turn.start
[844848]: 2037ms SPX_TRACE_INFO:  usp_connection.cpp:993 Service originated request received with requestId: 00000000000000000000000000000001
[844848]: 2037ms SPX_TRACE_INFO:  usp_connection.cpp:1008 Response Message: content type: application/json.
[844848]: 2037ms SPX_TRACE_INFO:  usp_connection.cpp:1028 TS:31 Response Message: path: turn.start, size: 42.
[832580]: 2106ms SPX_DBG_TRACE_FUNCTION:  audio_stream_session.cpp:1139 StopRecognitionAsync
